,full_name,county,state,r2_adj,per_rmse,sig,r2_score,error_score,sig_score,overall_score,sampleSize,intercept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x1_c,x2_c,x3_c,x4_c,x5_c,x6_c,x7_c,x8_c,x9_c,x10_c,x11_c,x12_c,x13_c,x14_c
Tuolumne County-California,Tuolumne County-California,Tuolumne County,California,0.999964506,0.000184282,0.00268189,1,1,3,5,3,3.976738688,renter-occupied-households,,,,,,,,,,,,,,-0.000288284,,,,,,,,,,,,,
Sunflower County-Mississippi,Sunflower County-Mississippi,Sunflower County,Mississippi,0.995294528,0.005263822,0.030891371,1,1,3,5,3,331.6283333,renter-occupied-households,,,,,,,,,,,,,,-0.089166667,,,,,,,,,,,,,
Wise County-Texas,Wise County-Texas,Wise County,Texas,0.994975878,0.068859412,0.031921054,1,1,3,5,3,8.460487591,renter-occupied-households,,,,,,,,,,,,,,-0.001628576,,,,,,,,,,,,,
St. Lucie County-Florida,St. Lucie County-Florida,St. Lucie County,Florida,0.992939598,0.020466188,0.037847368,1,1,3,5,3,22.26655914,renter-occupied-households,,,,,,,,,,,,,,-0.000894009,,,,,,,,,,,,,
Iredell County-North Carolina,Iredell County-North Carolina,Iredell County,North Carolina,0.989246179,0.024972677,0.003591055,1,1,3,5,4,32.47966495,renter-occupied-households,,,,,,,,,,,,,,-0.00228413,,,,,,,,,,,,,
Brooke County-West Virginia,Brooke County-West Virginia,Brooke County,West Virginia,0.988675175,0.082664737,7.10E-10,1,1,3,5,12,246.7635628,population,pct-am-ind,,,,,,,,,,,,,-0.010024954,-45.28687616,,,,,,,,,,,,
Bryan County-Georgia,Bryan County-Georgia,Bryan County,Georgia,0.985351041,0.027150234,0.000490375,1,1,3,5,5,10.84932088,renter-occupied-households,,,,,,,,,,,,,,-0.001979526,,,,,,,,,,,,,
Barry County-Missouri,Barry County-Missouri,Barry County,Missouri,0.964314679,0.055033259,5.23E-05,1,1,3,5,7,18.18168783,poverty-rate,,,,,,,,,,,,,,-1.184567901,,,,,,,,,,,,,
Knox County-Kentucky,Knox County-Kentucky,Knox County,Kentucky,0.963647875,0.074588841,5.48E-05,1,1,3,5,7,-0.306672344,pct-multiple,,,,,,,,,,,,,,2.402341784,,,,,,,,,,,,,
Robertson County-Tennessee,Robertson County-Tennessee,Robertson County,Tennessee,0.953488272,0.048428781,0.015625995,1,1,3,5,4,-24.67920928,renter-occupied-households,,,,,,,,,,,,,,0.005500994,,,,,,,,,,,,,
Beltrami County-Minnesota,Beltrami County-Minnesota,Beltrami County,Minnesota,0.941824043,0.132201436,0.003919935,1,1,3,5,5,-15.15978973,renter-occupied-households,,,,,,,,,,,,,,0.002968651,,,,,,,,,,,,,
Elkhart County-Indiana,Elkhart County-Indiana,Elkhart County,Indiana,0.941621197,0.045749377,0.000180411,1,1,3,5,7,-25.78192522,renter-occupied-households,,,,,,,,,,,,,,0.00140067,,,,,,,,,,,,,
Jackson County-Oregon,Jackson County-Oregon,Jackson County,Oregon,0.938708439,0.047335842,1.03E-10,1,1,3,5,17,5.310826015,renter-occupied-households,,,,,,,,,,,,,,-0.000111829,,,,,,,,,,,,,
Hampden County-Massachusetts,Hampden County-Massachusetts,Hampden County,Massachusetts,0.938354367,0.062958777,4.49E-10,1,1,3,5,16,38.97754037,renter-occupied-households,,,,,,,,,,,,,,-0.000516309,,,,,,,,,,,,,
Tom Green County-Texas,Tom Green County-Texas,Tom Green County,Texas,0.936972911,0.080751047,0.000218811,1,1,3,5,7,-62.85273671,renter-occupied-households,,,,,,,,,,,,,,0.004471427,,,,,,,,,,,,,
