full_name,year,GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,full_name
Abbeville County-South Carolina,2010,45001,2010,Abbeville County,South Carolina,25417,15.58,23.44,593.0,35067.0,90300.0,34.7,69.1,28.17,1.0,0.23,0.3,0.02,1.09,0.09,2342,293.0,51.0,2.18,12.51,0,0,0,Abbeville County-South Carolina
Abbeville County-South Carolina,2011,45001,2011,Abbeville County,South Carolina,24997,16.96,20.91,562.0,34799.0,88300.0,39.1,68.92,27.95,1.2,0.13,0.0,0.0,1.8,0.0,2371,347.0,9.0,0.38,14.64,0,0,0,Abbeville County-South Carolina
Abbeville County-South Carolina,2012,45001,2012,Abbeville County,South Carolina,24997,16.96,20.91,562.0,34799.0,88300.0,39.1,68.92,27.95,1.2,0.13,0.0,0.0,1.8,0.0,2400,333.0,3.0,0.13,13.88,0,0,0,Abbeville County-South Carolina
Abbeville County-South Carolina,2013,45001,2013,Abbeville County,South Carolina,24997,16.96,20.91,562.0,34799.0,88300.0,39.1,68.92,27.95,1.2,0.13,0.0,0.0,1.8,0.0,2429,315.0,60.0,2.47,12.97,0,0,0,Abbeville County-South Carolina
Abbeville County-South Carolina,2014,45001,2014,Abbeville County,South Carolina,24997,16.96,20.91,562.0,34799.0,88300.0,39.1,68.92,27.95,1.2,0.13,0.0,0.0,1.8,0.0,2458,328.0,56.0,2.28,13.34,0,0,0,Abbeville County-South Carolina
Abbeville County-South Carolina,2015,45001,2015,Abbeville County,South Carolina,24997,16.96,20.91,562.0,34799.0,88300.0,39.1,68.92,27.95,1.2,0.13,0.0,0.0,1.8,0.0,2487,282.0,81.0,3.26,11.34,0,0,0,Abbeville County-South Carolina
Abbeville County-South Carolina,2016,45001,2016,Abbeville County,South Carolina,24997,16.96,20.91,562.0,34799.0,88300.0,39.1,68.92,27.95,1.2,0.13,0.0,0.0,1.8,0.0,2516,337.0,163.0,6.48,13.39,0,0,0,Abbeville County-South Carolina
Ada County-Idaho,2000,16001,2000,Ada County,Idaho,300904,7.65,29.34,617.0,46140.0,124700.0,26.3,90.58,0.61,4.48,0.62,1.71,0.14,1.76,0.11,33273,563.0,534.0,1.6,1.69,0,0,1,Ada County-Idaho
Ada County-Idaho,2001,16001,2001,Ada County,Idaho,300904,7.65,29.34,617.0,46140.0,124700.0,26.3,90.58,0.61,4.48,0.62,1.71,0.14,1.76,0.11,34626,621.0,526.0,1.52,1.79,0,0,1,Ada County-Idaho
Ada County-Idaho,2002,16001,2002,Ada County,Idaho,300904,7.65,29.34,617.0,46140.0,124700.0,26.3,90.58,0.61,4.48,0.62,1.71,0.14,1.76,0.11,35980,880.0,532.0,1.48,2.45,0,0,1,Ada County-Idaho
Ada County-Idaho,2003,16001,2003,Ada County,Idaho,300904,7.65,29.34,617.0,46140.0,124700.0,26.3,90.58,0.61,4.48,0.62,1.71,0.14,1.76,0.11,37333,980.0,589.0,1.58,2.63,0,0,1,Ada County-Idaho
Ada County-Idaho,2004,16001,2004,Ada County,Idaho,300904,7.65,29.34,617.0,46140.0,124700.0,26.3,90.58,0.61,4.48,0.62,1.71,0.14,1.76,0.11,38686,1188.0,630.0,1.63,3.07,0,0,1,Ada County-Idaho
Ada County-Idaho,2005,16001,2005,Ada County,Idaho,368791,6.57,29.95,763.0,55888.0,207800.0,28.0,87.49,1.04,6.58,0.46,2.28,0.21,1.83,0.1,40039,1336.0,774.0,1.93,3.34,0,0,0,Ada County-Idaho
Ada County-Idaho,2006,16001,2006,Ada County,Idaho,368791,6.57,29.95,763.0,55888.0,207800.0,28.0,87.49,1.04,6.58,0.46,2.28,0.21,1.83,0.1,41393,1109.0,916.0,2.21,2.68,0,0,1,Ada County-Idaho
Ada County-Idaho,2007,16001,2007,Ada County,Idaho,368791,6.57,29.95,763.0,55888.0,207800.0,28.0,87.49,1.04,6.58,0.46,2.28,0.21,1.83,0.1,42746,829.0,738.0,1.73,1.94,0,0,1,Ada County-Idaho
Ada County-Idaho,2008,16001,2008,Ada County,Idaho,368791,6.57,29.95,763.0,55888.0,207800.0,28.0,87.49,1.04,6.58,0.46,2.28,0.21,1.83,0.1,44099,867.0,579.0,1.31,1.97,0,0,1,Ada County-Idaho
Ada County-Idaho,2009,16001,2009,Ada County,Idaho,368791,6.57,29.95,763.0,55888.0,207800.0,28.0,87.49,1.04,6.58,0.46,2.28,0.21,1.83,0.1,45453,1021.0,515.0,1.13,2.25,0,0,1,Ada County-Idaho
Ada County-Idaho,2010,16001,2010,Ada County,Idaho,392365,8.4,31.53,821.0,55499.0,193300.0,29.9,86.48,1.07,7.11,0.52,2.35,0.21,2.12,0.13,46806,1037.0,520.0,1.11,2.22,0,0,1,Ada County-Idaho
Ada County-Idaho,2011,16001,2011,Ada County,Idaho,417501,8.12,32.71,856.0,56356.0,188800.0,29.4,85.55,1.1,7.62,0.46,2.57,0.16,2.37,0.18,48388,1132.0,514.0,1.06,2.34,0,0,1,Ada County-Idaho
Ada County-Idaho,2012,16001,2012,Ada County,Idaho,417501,8.12,32.71,856.0,56356.0,188800.0,29.4,85.55,1.1,7.62,0.46,2.57,0.16,2.37,0.18,49969,1104.0,487.0,0.97,2.21,0,0,1,Ada County-Idaho
Ada County-Idaho,2013,16001,2013,Ada County,Idaho,417501,8.12,32.71,856.0,56356.0,188800.0,29.4,85.55,1.1,7.62,0.46,2.57,0.16,2.37,0.18,51551,968.0,418.0,0.81,1.88,0,0,1,Ada County-Idaho
Ada County-Idaho,2014,16001,2014,Ada County,Idaho,417501,8.12,32.71,856.0,56356.0,188800.0,29.4,85.55,1.1,7.62,0.46,2.57,0.16,2.37,0.18,53133,843.0,329.0,0.62,1.59,0,0,1,Ada County-Idaho
Ada County-Idaho,2015,16001,2015,Ada County,Idaho,417501,8.12,32.71,856.0,56356.0,188800.0,29.4,85.55,1.1,7.62,0.46,2.57,0.16,2.37,0.18,54714,914.0,391.0,0.71,1.67,0,0,1,Ada County-Idaho
Ada County-Idaho,2016,16001,2016,Ada County,Idaho,417501,8.12,32.71,856.0,56356.0,188800.0,29.4,85.55,1.1,7.62,0.46,2.57,0.16,2.37,0.18,56296,831.0,234.0,0.42,1.48,0,0,1,Ada County-Idaho
Adair County-Missouri,2000,29001,2000,Adair County,Missouri,24977,23.31,39.71,418.0,26677.0,73900.0,31.0,95.04,1.17,1.26,0.23,1.39,0.04,0.82,0.05,3840,1.0,1.0,0.03,0.03,0,0,1,Adair County-Missouri
Adair County-Missouri,2001,29001,2001,Adair County,Missouri,24977,23.31,39.71,418.0,26677.0,73900.0,31.0,95.04,1.17,1.26,0.23,1.39,0.04,0.82,0.05,3863,13.0,12.0,0.31,0.34,0,0,1,Adair County-Missouri
Adair County-Missouri,2002,29001,2002,Adair County,Missouri,24977,23.31,39.71,418.0,26677.0,73900.0,31.0,95.04,1.17,1.26,0.23,1.39,0.04,0.82,0.05,3886,16.0,16.0,0.41,0.41,0,0,1,Adair County-Missouri
Adair County-Missouri,2003,29001,2003,Adair County,Missouri,24977,23.31,39.71,418.0,26677.0,73900.0,31.0,95.04,1.17,1.26,0.23,1.39,0.04,0.82,0.05,3908,18.0,17.0,0.43,0.46,0,0,1,Adair County-Missouri
Adair County-Missouri,2004,29001,2004,Adair County,Missouri,24977,23.31,39.71,418.0,26677.0,73900.0,31.0,95.04,1.17,1.26,0.23,1.39,0.04,0.82,0.05,3931,10.0,10.0,0.25,0.25,0,0,0,Adair County-Missouri
Adair County-Missouri,2005,29001,2005,Adair County,Missouri,24801,13.59,42.6,525.0,30000.0,97600.0,46.1,93.18,1.52,2.03,0.28,1.18,0.31,1.43,0.08,3954,18.0,18.0,0.46,0.46,0,0,0,Adair County-Missouri
Adair County-Missouri,2006,29001,2006,Adair County,Missouri,24801,13.59,42.6,525.0,30000.0,97600.0,46.1,93.18,1.52,2.03,0.28,1.18,0.31,1.43,0.08,3977,36.0,20.0,0.5,0.91,0,0,0,Adair County-Missouri
Adair County-Missouri,2007,29001,2007,Adair County,Missouri,24801,13.59,42.6,525.0,30000.0,97600.0,46.1,93.18,1.52,2.03,0.28,1.18,0.31,1.43,0.08,4000,36.0,21.0,0.53,0.9,0,0,0,Adair County-Missouri
Adair County-Missouri,2008,29001,2008,Adair County,Missouri,24801,13.59,42.6,525.0,30000.0,97600.0,46.1,93.18,1.52,2.03,0.28,1.18,0.31,1.43,0.08,4022,44.0,26.0,0.65,1.09,0,0,0,Adair County-Missouri
Adair County-Missouri,2009,29001,2009,Adair County,Missouri,24801,13.59,42.6,525.0,30000.0,97600.0,46.1,93.18,1.52,2.03,0.28,1.18,0.31,1.43,0.08,4045,55.0,43.0,1.06,1.36,0,0,0,Adair County-Missouri
Adair County-Missouri,2010,29001,2010,Adair County,Missouri,25607,11.29,41.19,531.0,33284.0,99300.0,39.3,92.75,1.53,2.04,0.28,1.77,0.05,1.52,0.05,4068,90.0,64.0,1.57,2.21,0,0,0,Adair County-Missouri
Adair County-Missouri,2011,29001,2011,Adair County,Missouri,25560,11.1,41.5,594.0,37516.0,108000.0,37.4,91.47,2.07,2.4,0.33,2.23,0.28,1.13,0.09,4098,51.0,44.0,1.07,1.24,0,0,0,Adair County-Missouri
Adair County-Missouri,2012,29001,2012,Adair County,Missouri,25560,11.1,41.5,594.0,37516.0,108000.0,37.4,91.47,2.07,2.4,0.33,2.23,0.28,1.13,0.09,4128,70.0,48.0,1.16,1.7,0,0,0,Adair County-Missouri
Adair County-Missouri,2013,29001,2013,Adair County,Missouri,25560,11.1,41.5,594.0,37516.0,108000.0,37.4,91.47,2.07,2.4,0.33,2.23,0.28,1.13,0.09,4158,53.0,33.0,0.79,1.27,0,0,0,Adair County-Missouri
Adair County-Missouri,2014,29001,2014,Adair County,Missouri,25560,11.1,41.5,594.0,37516.0,108000.0,37.4,91.47,2.07,2.4,0.33,2.23,0.28,1.13,0.09,4188,38.0,24.0,0.57,0.91,0,0,0,Adair County-Missouri
Adair County-Missouri,2015,29001,2015,Adair County,Missouri,25560,11.1,41.5,594.0,37516.0,108000.0,37.4,91.47,2.07,2.4,0.33,2.23,0.28,1.13,0.09,4218,54.0,35.0,0.83,1.28,0,0,0,Adair County-Missouri
Adair County-Missouri,2016,29001,2016,Adair County,Missouri,25560,11.1,41.5,594.0,37516.0,108000.0,37.4,91.47,2.07,2.4,0.33,2.23,0.28,1.13,0.09,4248,42.0,27.0,0.64,0.99,0,0,0,Adair County-Missouri
