full_name,name,parent-location,GEOID,eviction-rate,poverty-rate,rent-burden,pct-renter-occupied,Program1Slope,Program2Slope,Program3Slope,5YearTrend,5YearTrendNum
Autauga County-Alabama,Autauga County,Alabama,1001,2.16,9.28,32.8,26.08,0.25,0.286,0.211,down,-1
Baldwin County-Alabama,Baldwin County,Alabama,1003,2.11,9.63,30.3,28.48,0.25,0.286,0.211,down,-1
Barbour County-Alabama,Barbour County,Alabama,1005,0.63,19.54,30.3,36.41,0.25,0.286,0.211,up,1
Bibb County-Alabama,Bibb County,Alabama,1007,0.86,12.84,26.9,24.89,0.25,0.286,0.211,up,1
Blount County-Alabama,Blount County,Alabama,1009,1.03,12.26,26.1,21.1,0.25,0.286,0.211,up,1
Bullock County-Alabama,Bullock County,Alabama,1011,0.9,22.72,30.3,29.16,0.33,0.286,0.211,down,-1
Butler County-Alabama,Butler County,Alabama,1013,1.17,20.55,30.9,29.94,0.33,0.286,0.211,up,1
Calhoun County-Alabama,Calhoun County,Alabama,1015,2,16.49,31.1,30.95,0.25,0.286,0.211,up,1
Chambers County-Alabama,Chambers County,Alabama,1017,1.98,17.17,32.3,32.41,0.25,0.286,0.211,up,1
Cherokee County-Alabama,Cherokee County,Alabama,1019,1.35,15.07,30.2,22.32,0.25,0.286,0.211,up,1
Chilton County-Alabama,Chilton County,Alabama,1021,1.65,14.88,28.4,23.57,0.25,0.286,0.211,up,1
Choctaw County-Alabama,Choctaw County,Alabama,1023,0.85,16.94,32.8,18.44,0.25,0.286,0.211,down,-1
Clarke County-Alabama,Clarke County,Alabama,1025,1.22,18.31,30.4,33.78,0.25,0.286,0.211,up,1
Clay County-Alabama,Clay County,Alabama,1027,0.34,13.08,25.9,25.65,0.25,0.286,0.211,up,1
Cleburne County-Alabama,Cleburne County,Alabama,1029,1.52,10.6,24.2,22.61,0.25,0.267,0.211,up,1
Coffee County-Alabama,Coffee County,Alabama,1031,1.72,13.54,27,32.36,0.25,0.286,0.211,up,1
Colbert County-Alabama,Colbert County,Alabama,1033,2,13.89,30.3,28.69,0.25,0.286,0.211,up,1
Conecuh County-Alabama,Conecuh County,Alabama,1035,1.11,30.43,40.6,22.76,0.5,0.4,0.211,up,1
Coosa County-Alabama,Coosa County,Alabama,1037,1.63,14.9,24.8,20.67,0.25,0.267,0.211,up,1
Covington County-Alabama,Covington County,Alabama,1039,1.27,15.97,26.3,25.27,0.25,0.286,0.211,up,1
Crenshaw County-Alabama,Crenshaw County,Alabama,1041,0.91,13.95,26.3,29.65,0.25,0.286,0.211,up,1
Cullman County-Alabama,Cullman County,Alabama,1043,1.4,12.98,29.6,24.74,0.25,0.286,0.211,up,1
Dale County-Alabama,Dale County,Alabama,1045,1.68,13.88,27.2,38,0.25,0.286,0.211,up,1
Dallas County-Alabama,Dallas County,Alabama,1047,1.25,27.84,36.5,41.16,0.33,0.286,0.222,no change,0
DeKalb County-Alabama,DeKalb County,Alabama,1049,1.16,14.03,22.9,26.75,0.25,0.267,0.211,up,1
Elmore County-Alabama,Elmore County,Alabama,1051,2.01,10.44,28.3,25.12,0.25,0.286,0.211,down,-1
Escambia County-Alabama,Escambia County,Alabama,1053,1.35,20.29,31.1,28.44,0.33,0.286,0.211,up,1
Etowah County-Alabama,Etowah County,Alabama,1055,3.53,15.38,30.5,28.64,0.25,0.286,0.211,up,1
Fayette County-Alabama,Fayette County,Alabama,1057,0.57,13.97,30.8,25.93,0.25,0.286,0.211,up,1
Franklin County-Alabama,Franklin County,Alabama,1059,0.86,17.02,26.5,32.41,0.25,0.286,0.211,up,1
Geneva County-Alabama,Geneva County,Alabama,1061,1.12,18,29.7,25.21,0.25,0.286,0.211,up,1
Greene County-Alabama,Greene County,Alabama,1063,1.56,35.27,33,28.93,0.5,0.286,0.211,down,-1
Hale County-Alabama,Hale County,Alabama,1065,1.75,22.63,32.9,24.65,0.33,0.286,0.211,up,1
Henry County-Alabama,Henry County,Alabama,1067,0.66,10.89,26.8,21.7,0.25,0.286,0.211,down,-1
Houston County-Alabama,Houston County,Alabama,1069,2.26,14.62,29.3,35.3,0.25,0.286,0.211,down,-1
Jackson County-Alabama,Jackson County,Alabama,1071,1.21,15.28,26.4,26.46,0.25,0.286,0.211,up,1
Jefferson County-Alabama,Jefferson County,Alabama,1073,0.42,15.04,32.2,36.81,0.25,0.286,0.211,down,-1
Lamar County-Alabama,Lamar County,Alabama,1075,0.34,18.99,28,28.36,0.25,0.286,0.211,down,-1
Lauderdale County-Alabama,Lauderdale County,Alabama,1077,1.54,13.04,29.3,30.7,0.25,0.286,0.211,up,1
Lawrence County-Alabama,Lawrence County,Alabama,1079,0.62,14.93,24.1,19.89,0.25,0.267,0.211,down,-1
Lee County-Alabama,Lee County,Alabama,1081,1.25,14.3,36.2,40.96,0.25,0.286,0.222,up,1
Limestone County-Alabama,Limestone County,Alabama,1083,1.56,11.34,28.4,23.73,0.25,0.286,0.211,up,1
Lowndes County-Alabama,Lowndes County,Alabama,1085,1.3,24.89,33.1,26.34,0.33,0.286,0.211,down,-1
Macon County-Alabama,Macon County,Alabama,1087,0.99,22.07,32.8,35.04,0.33,0.286,0.211,up,1
Madison County-Alabama,Madison County,Alabama,1089,1.16,10.03,28.5,32.26,0.25,0.286,0.211,down,-1
Marengo County-Alabama,Marengo County,Alabama,1091,1.05,19.37,30.1,29.85,0.25,0.286,0.211,down,-1
Marion County-Alabama,Marion County,Alabama,1093,0.74,15.93,30.1,24.53,0.25,0.286,0.211,up,1
Marshall County-Alabama,Marshall County,Alabama,1095,1.52,15.38,27.8,28.18,0.25,0.286,0.211,up,1
Mobile County-Alabama,Mobile County,Alabama,1097,3.12,15.7,33.4,33.45,0.25,0.286,0.211,up,1
Monroe County-Alabama,Monroe County,Alabama,1099,0.64,24.29,28.9,33.84,0.33,0.286,0.211,down,-1
Montgomery County-Alabama,Montgomery County,Alabama,1101,5.68,18.13,31.9,40.8,0.25,0.286,0.222,up,1
Morgan County-Alabama,Morgan County,Alabama,1103,2.61,13.12,27.1,29.25,0.25,0.286,0.211,up,1
Perry County-Alabama,Perry County,Alabama,1105,0.51,29.97,33.1,31.48,0.33,0.286,0.211,down,-1
Pickens County-Alabama,Pickens County,Alabama,1107,0.73,19.98,33,28.23,0.25,0.286,0.211,down,-1
Pike County-Alabama,Pike County,Alabama,1109,1.66,15.9,33.3,42.04,0.25,0.286,0.222,up,1
Randolph County-Alabama,Randolph County,Alabama,1111,0.6,16.08,32.6,28.74,0.25,0.286,0.211,up,1
Russell County-Alabama,Russell County,Alabama,1113,3.2,16.82,29.5,41.23,0.25,0.286,0.222,down,-1
St. Clair County-Alabama,St. Clair County,Alabama,1115,1.78,12.21,25.5,19.85,0.25,0.286,0.211,down,-1
Shelby County-Alabama,Shelby County,Alabama,1117,0.28,5.6,27,21.11,0.25,0.286,0.211,down,-1
Talladega County-Alabama,Talladega County,Alabama,1121,1.72,19.35,31,28.94,0.25,0.286,0.211,up,1
Tuscaloosa County-Alabama,Tuscaloosa County,Alabama,1125,2.65,13.41,32.5,36.12,0.25,0.286,0.211,up,1
Walker County-Alabama,Walker County,Alabama,1127,0.99,17.03,30.5,26.01,0.25,0.286,0.211,up,1
Washington County-Alabama,Washington County,Alabama,1129,0.24,15.11,25.5,16.08,0.25,0.286,0.211,down,-1
Wilcox County-Alabama,Wilcox County,Alabama,1131,0.52,30.41,29.4,31.17,0.5,0.286,0.211,up,1
Winston County-Alabama,Winston County,Alabama,1133,0.94,15.81,26.7,23.79,0.25,0.286,0.211,up,1
Appling County-Georgia,Appling County,Georgia,13001,1,17.08,23.1,30.24,0.25,0.267,0.211,up,1
Baldwin County-Georgia,Baldwin County,Georgia,13009,7.25,19.29,40.6,45.63,0.25,0.4,0.222,up,1
Barrow County-Georgia,Barrow County,Georgia,13013,3.65,10.78,29.2,26.83,0.25,0.286,0.211,down,-1
Bartow County-Georgia,Bartow County,Georgia,13015,5.41,11.98,27.7,34.97,0.25,0.286,0.211,down,-1
Ben Hill County-Georgia,Ben Hill County,Georgia,13017,0.52,30.28,31.3,36.05,0.5,0.286,0.211,down,-1
Berrien County-Georgia,Berrien County,Georgia,13019,0.04,21.52,33.4,27.08,0.33,0.286,0.211,no change,0
Bibb County-Georgia,Bibb County,Georgia,13021,4.02,22.65,36.3,47,0.33,0.286,0.222,down,-1
Bleckley County-Georgia,Bleckley County,Georgia,13023,0.69,15.96,29.9,25.75,0.25,0.286,0.211,down,-1
Brantley County-Georgia,Brantley County,Georgia,13025,1.61,14.76,26.2,20.1,0.25,0.286,0.211,down,-1
Bryan County-Georgia,Bryan County,Georgia,13029,3.65,9.81,29.6,31.66,0.25,0.286,0.211,down,-1
Bulloch County-Georgia,Bulloch County,Georgia,13031,1.1,19.41,39,50.37,0.25,0.286,0.222,down,-1
Butts County-Georgia,Butts County,Georgia,13035,1.55,18.91,36.6,28.26,0.25,0.286,0.211,up,1
Camden County-Georgia,Camden County,Georgia,13039,1.3,11.15,27.9,38.9,0.25,0.286,0.211,down,-1
Candler County-Georgia,Candler County,Georgia,13043,1.71,26.68,34.1,39.37,0.33,0.286,0.211,up,1
Carroll County-Georgia,Carroll County,Georgia,13045,9.04,14.85,31.7,37.25,0.25,0.286,0.211,up,1
Catoosa County-Georgia,Catoosa County,Georgia,13047,4.27,9.38,26.5,24.98,0.25,0.286,0.211,down,-1
Chatham County-Georgia,Chatham County,Georgia,13051,4.29,14.35,32.5,45.37,0.25,0.286,0.222,down,-1
Chattooga County-Georgia,Chattooga County,Georgia,13055,3.46,18.05,27.8,33.69,0.25,0.286,0.211,down,-1
Cherokee County-Georgia,Cherokee County,Georgia,13057,2.65,8.49,29.1,22.65,0.25,0.286,0.211,down,-1
Clayton County-Georgia,Clayton County,Georgia,13063,8.94,21.16,35.1,47.29,0.33,0.286,0.222,down,-1
Clinch County-Georgia,Clinch County,Georgia,13065,1.49,32.06,24.8,31,0.5,0.267,0.211,down,-1
Cobb County-Georgia,Cobb County,Georgia,13067,5.31,9.37,29.6,35.84,0.25,0.286,0.211,down,-1
Coffee County-Georgia,Coffee County,Georgia,13069,0.09,17.95,29.4,33.29,0.25,0.286,0.211,down,-1
Colquitt County-Georgia,Colquitt County,Georgia,13071,0.09,22.68,34.1,35.21,0.33,0.286,0.211,down,-1
Cook County-Georgia,Cook County,Georgia,13075,5.88,20.63,30,31.95,0.33,0.286,0.211,up,1
Coweta County-Georgia,Coweta County,Georgia,13077,2.65,10.98,29.3,27.23,0.25,0.286,0.211,down,-1
Crawford County-Georgia,Crawford County,Georgia,13079,0.18,11.96,30.9,20.47,0.25,0.286,0.211,down,-1
Crisp County-Georgia,Crisp County,Georgia,13081,1.42,26.23,38.9,41.01,0.33,0.286,0.222,down,-1
Dade County-Georgia,Dade County,Georgia,13083,1.71,11.21,29.6,22.13,0.25,0.286,0.211,down,-1
Dawson County-Georgia,Dawson County,Georgia,13085,1.63,9.63,29.3,24.62,0.25,0.286,0.211,up,1
DeKalb County-Georgia,DeKalb County,Georgia,13089,6.22,14.97,32.3,44.75,0.25,0.286,0.222,down,-1
Dooly County-Georgia,Dooly County,Georgia,13093,1.24,24.98,33.2,35.73,0.33,0.286,0.211,down,-1
Douglas County-Georgia,Douglas County,Georgia,13097,7.77,13.93,30.8,32.69,0.25,0.286,0.211,down,-1
Effingham County-Georgia,Effingham County,Georgia,13103,3.86,7.79,27.4,23.46,0.25,0.286,0.211,up,1
Elbert County-Georgia,Elbert County,Georgia,13105,2.4,17.21,31.7,31.84,0.25,0.286,0.211,down,-1
Emanuel County-Georgia,Emanuel County,Georgia,13107,1.79,21.92,30.1,33.26,0.33,0.286,0.211,down,-1
Evans County-Georgia,Evans County,Georgia,13109,0.63,23.82,29.2,36.41,0.33,0.286,0.211,down,-1
Fannin County-Georgia,Fannin County,Georgia,13111,1.12,17.46,32.1,22,0.25,0.286,0.211,up,1
Fayette County-Georgia,Fayette County,Georgia,13113,3.6,6.73,27.9,18.73,0.25,0.286,0.211,down,-1
