,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,Division
0,2000,Alabama,USA,4447100,16.1,27.54,447,34135,85100,24.8,70.29,25.86,1.71,0.49,0.7,0.02,0.88,0.06,255910,7585,4583,1.79,2.96,0,0,0,State
1,2001,Alabama,USA,4447100,16.1,27.54,447,34135,85100,24.8,70.29,25.86,1.71,0.49,0.7,0.02,0.88,0.06,486061,20828,10106,2.08,4.29,0,0,0,State
2,2002,Alabama,USA,4447100,16.1,27.54,447,34135,85100,24.8,70.29,25.86,1.71,0.49,0.7,0.02,0.88,0.06,495329,21070,9603,1.94,4.25,0,0,0,State
3,2003,Alabama,USA,4447100,16.1,27.54,447,34135,85100,24.8,70.29,25.86,1.71,0.49,0.7,0.02,0.88,0.06,456138,15750,7379,1.62,3.45,0,0,0,State
4,2004,Alabama,USA,4447100,16.1,27.54,447,34135,85100,24.8,70.29,25.86,1.71,0.49,0.7,0.02,0.88,0.06,446058,13508,6170,1.38,3.03,0,0,0,State
5,2005,Alabama,USA,4633360,12.86,29.24,621,41216,111900,29.3,68.5,26.01,2.81,0.46,1,0.03,1.1,0.08,449922,15426,8300,1.84,3.43,0,0,0,State
6,2006,Alabama,USA,4633360,12.86,29.24,621,41216,111900,29.3,68.5,26.01,2.81,0.46,1,0.03,1.1,0.08,508148,20196,10882,2.14,3.97,0,0,0,State
7,2007,Alabama,USA,4633360,12.86,29.24,621,41216,111900,29.3,68.5,26.01,2.81,0.46,1,0.03,1.1,0.08,537224,17688,9322,1.74,3.29,0,0,0,State
8,2008,Alabama,USA,4633360,12.86,29.24,621,41216,111900,29.3,68.5,26.01,2.81,0.46,1,0.03,1.1,0.08,546421,17888,10866,1.99,3.27,0,0,0,State
9,2009,Alabama,USA,4633360,12.86,29.24,621,41216,111900,29.3,68.5,26.01,2.81,0.46,1,0.03,1.1,0.08,555619,16049,9687,1.74,2.89,0,0,0,State
10,2010,Alabama,USA,4779736,13.91,30.32,691,43160,122300,30.9,67.04,26.04,3.88,0.54,1.11,0.04,1.26,0.08,564817,15061,9771,1.73,2.67,0,0,0,State
11,2011,Alabama,USA,4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,573419,16637,10670,1.86,2.9,0,0,0,State
12,2012,Alabama,USA,4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,582021,20797,11424,1.96,3.57,0,0,0,State
13,2013,Alabama,USA,4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,590623,22873,11379,1.93,3.87,0,0,0,State
14,2014,Alabama,USA,4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,599224,22778,10104,1.69,3.8,0,0,0,State
15,2015,Alabama,USA,4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,607826,22507,10929,1.8,3.7,0,0,0,State
16,2016,Alabama,USA,4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,616428,24294,11213,1.82,3.94,0,0,0,State
0,2000,Georgia,USA,8186453,12.99,32.5,613,42433,111200,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,435665,73939,24718,5.67,16.97,0,0,0,State
1,2001,Georgia,USA,8186453,12.99,32.5,613,42433,111200,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,734181,142770,35966,4.9,19.45,0,0,0,State
2,2002,Georgia,USA,8186453,12.99,32.5,613,42433,111200,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,786206,154809,42029,5.35,19.69,0,0,0,State
3,2003,Georgia,USA,8186453,12.99,32.5,613,42433,111200,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,858008,178557,49775,5.8,20.81,0,0,0,State
4,2004,Georgia,USA,8186453,12.99,32.5,613,42433,111200,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,844944,180423,47468,5.62,21.35,0,0,0,State
