Hour,Door,Assignment,Volume
3,1,3,58
3,2,3,0
3,3,3,30
3,4,0,0
3,5,0,50
3,6,0,46
3,7,3,39
3,8,3,25
3,9,0,66
3,10,0,0
3,11,0,83
3,12,1,72
3,13,1,5
3,14,0,87
3,15,1,0
3,16,1,0
3,17,1,39
3,18,0,59
3,19,2,60
3,20,2,19
3,21,2,84
3,22,2,45
3,23,2,0
3,24,2,21
3,25,2,0
3,26,5,0
3,27,5,0
3,28,0,94
3,29,0,1
3,30,5,56
3,31,0,46
3,32,5,53
3,33,5,31
3,34,5,0
3,35,5,49
3,36,6,82
3,37,6,12
3,38,6,5
3,39,0,0
3,40,6,88
3,41,4,63
3,42,4,2
3,43,4,19
3,44,0,97
3,45,4,100
3,46,0,22
3,47,4,0
3,48,4,11
3,49,4,40
3,50,4,60
3,51,10,42
3,52,10,0
3,53,10,83
3,54,8,55
3,55,8,68
3,56,8,27
3,57,8,35
3,58,8,56
3,59,8,0
3,60,0,31
3,61,8,68
3,62,8,45
3,63,11,3
3,64,11,22
3,65,9,0
3,66,0,0
3,67,9,0
3,68,9,92
3,69,9,22
3,70,7,82
3,71,7,99
3,72,7,0
3,73,0,18
3,74,7,56
3,75,7,58
3,76,0,81
3,77,0,49
3,78,12,0
3,79,12,58
3,80,12,85
3,81,12,74
3,82,12,97
3,83,13,100
3,84,13,71
3,85,13,46
3,86,13,69
3,87,13,88
3,88,0,0
3,89,16,57
3,90,16,0
3,91,16,0
3,92,16,35
3,93,16,78
3,94,15,12
3,95,0,23
3,96,15,36
3,97,14,0
3,98,14,18
3,99,14,73
3,100,14,12
3,1,4,
3,2,4,
3,3,4,
3,4,4,
3,5,4,
3,6,3,
3,7,0,
3,8,3,
3,9,3,
3,10,3,
3,11,3,
3,12,3,
3,13,2,
3,14,2,
3,15,0,
3,16,2,
3,17,2,
3,18,2,
3,19,2,
3,20,2,
3,21,2,
3,22,0,
3,23,0,
3,24,0,
3,25,0,
3,26,7,
3,27,7,
3,28,5,
3,29,5,
3,30,5,
3,31,5,
3,32,9,
3,33,9,
3,34,9,
3,35,9,
3,36,9,
3,37,9,
3,38,6,
3,39,6,
3,40,6,
3,41,0,
3,42,6,
3,43,8,
3,44,8,
3,45,8,
3,46,0,
3,47,8,
3,48,8,
3,49,8,
3,50,8,
3,51,10,
3,52,10,
3,53,10,
3,54,0,
3,55,0,
3,56,10,
3,57,11,
3,58,11,
3,59,11,
3,60,0,
3,61,0,
3,62,11,
3,63,0,
3,64,12,
3,65,12,
3,66,12,
3,67,13,
3,68,13,
3,69,0,
3,70,13,
3,71,13,
3,72,13,
3,73,0,
3,74,13,
3,75,13,
3,76,15,
3,77,15,
3,78,15,
3,79,0,
3,80,18,
3,81,18,
3,82,18,
3,83,16,
3,84,0,
3,85,0,
3,86,16,
3,87,0,
3,88,16,
3,89,19,
3,90,0,
3,91,0,
3,92,0,
3,93,0,
3,94,19,
3,95,19,
3,96,0,
3,97,17,
3,98,17,
3,99,14,
3,100,14,
3,1,3,
3,2,0,
3,3,3,
3,4,0,
3,5,3,
3,6,3,
3,7,3,
3,8,2,
3,9,2,
3,10,0,
3,11,2,
3,12,2,
3,13,1,
3,14,1,
3,15,0,
3,16,0,
3,17,1,
3,18,1,
3,19,4,
3,20,4,
3,21,4,
3,22,4,
3,23,0,
3,24,4,
3,25,0,
3,26,0,
3,27,0,
3,28,5,
3,29,5,
3,30,5,
3,31,5,
3,32,7,
3,33,7,
3,34,0,
3,35,7,
3,36,7,
3,37,7,
3,38,7,
3,39,0,
3,40,8,
3,41,8,
3,42,8,
3,43,8,
3,44,8,
3,45,6,
3,46,6,
3,47,0,
3,48,6,
3,49,6,
3,50,6,
3,51,14,
3,52,0,
3,53,14,
3,54,14,
3,55,10,
3,56,10,
3,57,10,
3,58,10,
3,59,0,
3,60,11,
3,61,11,
3,62,11,
3,63,11,
3,64,13,
3,65,0,
3,66,0,
3,67,0,
3,68,13,
3,69,13,
3,70,9,
3,71,9,
3,72,0,
3,73,12,
3,74,12,
3,75,12,
3,76,16,
3,77,16,
3,78,0,
3,79,16,
3,80,21,
3,81,21,
3,82,18,
3,83,18,
3,84,19,
3,85,19,
3,86,19,
3,87,15,
3,88,0,
3,89,15,
3,90,0,
3,91,0,
3,92,17,
3,93,17,
3,94,17,
3,95,17,
3,96,20,
3,97,0,
3,98,20,
3,99,20,
3,100,20,
