,dateDelta,balance
0,0,387272
1,60,386158
2,66,385821
3,71,385655
4,73,385478
5,74,384978
6,75,384478
7,80,383978
8,81,382946
9,82,382839
10,85,382628
11,86,381359
12,87,381299
13,89,380971
14,95,380911
15,99,380795
16,102,380577
17,103,380183
18,104,380015
19,106,379347
20,108,379055
21,110,378920
22,113,378468
23,114,377738
24,115,377675
25,116,376926
26,117,376787
27,120,376504
28,122,376485
29,124,376049
30,127,374978
31,128,374678
32,129,374664
33,130,374501
34,131,374091
35,134,372813
36,135,372697
37,136,372242
38,137,372219
39,141,371994
40,142,371851
41,143,370581
42,145,370465
43,148,370103
44,150,368843
45,151,368172
46,152,368125
47,156,367554
48,157,366459
49,159,365990
50,162,365672
51,163,365050
52,164,364011
53,165,363731
54,169,363050
55,171,361947
56,172,361569
57,173,361003
58,177,360677
59,178,359624
60,179,358637
61,185,358041
62,186,357125
63,187,355884
64,191,355471
65,192,354474
66,193,354013
67,194,354009
68,197,353778
69,198,353562
70,199,351864
71,200,351858
72,204,351354
73,205,351140
74,206,349924
75,207,349812
76,208,349783
77,211,349669
78,212,348985
79,213,348630
80,214,347043
81,218,345341
82,219,345079
83,220,344861
84,221,344676
85,222,344654
86,226,343898
87,227,342208
88,228,342149
89,232,341294
90,233,340064
91,234,339875
92,239,339216
93,240,338975
94,241,337691
95,242,337426
96,243,335671
97,246,335042
98,247,333337
99,249,333187
100,250,333092
101,253,332298
102,254,332205
103,256,330092
104,260,329250
105,261,327263
106,262,327195
107,263,326849
108,264,326849
109,269,323972
110,270,323838
111,271,323794
112,274,323682
113,278,323342
114,283,323248
115,288,320532
116,289,320463
117,290,319831
118,291,319767
119,292,319061
120,297,318786
121,298,318428
122,299,318302
