,1
1,0
2,958
3,694
4,0
5,690
6,0
7,556
8,0
9,1042
10,896
11,974
12,248
13,190
14,0
15,542
16,846
17,0
18,544
19,0
20,718
21,0
22,632
23,0
24,730
25,562
26,380
27,306
28,732
29,456
30,450
31,578
32,438
33,450
34,400
35,360
36,554
37,492
38,488
39,634
40,624
41,490
42,400
43,450
44,414
45,736
46,274
47,392
48,348
49,668
50,408
51,446
52,454
53,514
54,520
55,594
56,410
57,1398
58,0
59,32
60,226
61,442
62,176
63,16
64,86
65,86
66,0
67,82
68,384
69,124
70,0
71,18
72,286
73,178
74,190
75,210
76,164
77,160
78,170
79,112
80,0
81,366
82,418
83,196
84,334
85,290
86,242
87,338
88,304
89,132
90,40
91,182
92,218
93,38
94,182
95,284
96,360
97,0
98,184
99,0
100,0
101,42
102,88
103,140
104,56
105,208
106,248
107,40
108,126
109,256
110,228
111,516
112,260
113,274
114,162
115,0
116,832
117,0
118,578
119,178
120,142
121,16
122,28
123,198
124,54
125,84
126,112
127,94
128,60
129,0
